year,state,hs_grad,bachelors,adv_degree,media houdhold income,rep_spending,dem_spending,inflation_rate,poverty_rate,stock_change,unemployment_rate,perc_urban,rep_sen,rep_house,campaign_fund,rep_legis,stateGDP,rep_win
2004,Utah,91,30.8,9.4,66178,452.98,424.526,3.26,10.9,8.59,5.7,89.25,0.51,0.5264,0.5162,75,0.852776005,1
2004,Vermont,90.8,34.2,12.8,61570,452.98,424.526,3.26,9,8.59,4.8,38.50625,0.51,0.5264,0.5162,47,0.875664752,0
2004,Virginia,88.4,33.1,13.2,66529,452.98,424.526,3.26,9.5,8.59,4.3,74.09375,0.51,0.5264,0.5162,61,1.072112317,1
2004,Washington,89.7,29.9,10.7,64944,452.98,424.526,3.26,13.1,8.59,7.7,82.875,0.51,0.5264,0.5162,48,1.050989151,0
2004,West Virginia,80.9,15.3,6.6,43415,452.98,424.526,3.26,17.9,8.59,6.3,47.2375,0.51,0.5264,0.5162,31,0.699042757,1
2004,Wisconsin,88.8,25.6,8.4,59493,452.98,424.526,3.26,10.7,8.59,6,69.13125,0.51,0.5264,0.5162,58,0.945649862,0
2004,Wyoming,91.9,22.5,7.4,59057,452.98,424.526,3.26,10.3,8.59,4.9,64.96875,0.51,0.5264,0.5162,73,1.188002553,1
2008,Alabama,81.9,22,7.7,50761,267.985,850.128,0.09,15.7,-40.54,4.8,58.1,0.49,0.4644,0.2397,40,0.763951158,1
2008,Alaska,91.6,27.3,9.7,73032,267.985,850.128,0.09,8.4,-40.54,7.4,65.9,0.49,0.4644,0.2397,57,1.395157125,1
2008,Arizona,83.8,25.1,9.2,53544,267.985,850.128,0.09,14.7,-40.54,4.7,89.4,0.49,0.4644,0.2397,56,0.86361852,1
2008,Arkansas,82,18.8,6.3,45180,267.985,850.128,0.09,17.3,-40.54,5.7,55.275,0.49,0.4644,0.2397,24,0.722237144,1
2008,California,80.2,29.6,10.8,65071,267.985,850.128,0.09,13.3,-40.54,6.4,95,0.49,0.4644,0.2397,39,1.1250594,0
2008,Colorado,88.9,35.6,12.7,69556,267.985,850.128,0.09,11.4,-40.54,4.6,85.775,0.49,0.4644,0.2397,40,1.067147373,0
2008,Connecticut,88.6,35.6,15.2,73823,267.985,850.128,0.09,9.3,-40.54,5.4,87.925,0.49,0.4644,0.2397,30,1.420983038,0
2008,Delaware,87.2,27.5,10.8,57867,267.985,850.128,0.09,10,-40.54,4.4,82.5,0.49,0.4644,0.2397,48,1.29201876,0
